sessionId;kwhTotal;startTime;endTime;chargeTimeHrs;userId
1366563;7.78;15;17;1.510555556;35897499
3075723;9.74;17;19;2.177222222;35897499
4228788;6.76;12;16;4.671666667;35897499
3173284;6.17;19;21;1.768333333;35897499
3266500;0.93;20;21;0.298611111;35897499
4099366;2.14;14;15;0.422222222;35897499
5084244;0.3;15;15;0.64;35897499
2948436;1.82;20;21;1.010833333;35897499
3515913;0.81;17;18;0.179166667;35897499
8490014;1.98;18;18;0.387777778;35897499
7075912;4.56;18;20;2.419444444;35897499
5226095;2.05;14;15;0.690833333;35897499
9342496;5.3;17;20;3.019444444;35897499
1853945;0;13;14;0.365;35897499
2113485;7.85;17;21;4.141111111;35897499
7492587;8.49;17;19;1.658055556;35897499
1111437;7.52;19;21;2.157222222;35897499
4716378;5.38;18;20;2.294166667;35897499
4187340;3.42;16;17;0.841944444;35897499
7934936;0.09;18;18;0.032222222;35897499
7073357;12.14;19;21;2.134166667;35897499
3002716;11.74;18;21;2.886111111;35897499
2995135;2.48;16;18;2.436944444;35897499
5011218;4.65;13;15;1.505555556;35897499
8554662;6.29;18;21;3.114722222;35897499
8052184;3.1;15;16;0.595833333;35897499
6178541;20.95;18;21;3.658333333;35897499
8499802;8.26;18;21;3.460555556;35897499
8259939;17.95;18;21;3.543611111;35897499
2032051;3.02;20;21;0.709722222;35897499
7357133;7.84;16;21;4.953055556;35897499
6032746;0.88;19;19;0.3475;35897499
4072758;4.56;19;21;2.161111111;35897499
6830717;2.11;14;16;1.487222222;35897499
6455251;11.48;19;21;1.998333333;35897499
5376208;10.52;18;21;3.685555556;35897499
2914893;9.61;17;20;3.028055556;35897499
5224755;7.24;17;21;3.803333333;35897499
8450261;12.96;12;16;3.755833333;35897499
9731366;9.17;17;20;3.053888889;35897499
9473434;19.01;18;21;3.315555556;35897499
2817985;0.04;11;11;0.033333333;35897499
5820347;9.52;17;19;1.914722222;35897499
5338238;6.6;12;13;1.405555556;35897499
3192864;4.62;17;18;1.151666667;35897499
9813434;3.83;11;11;0.885277778;35897499
6362922;1.07;13;14;0.367222222;35897499
3910417;7.32;17;18;1.527222222;35897499
9537925;13.5;12;15;2.549722222;35897499
5688787;4.71;16;17;1.074722222;35897499
2189714;5.58;14;16;1.247222222;35897499
9009117;0.78;16;16;0.241111111;35897499
6241251;4.1;16;17;1.03;35897499
4027242;0.03;17;17;0.021111111;35897499
1534730;16.2;17;19;2.934722222;35897499
4970729;7.73;17;18;1.651111111;35897499
5850084;7.04;12;14;2.568611111;35897499
5503753;2.13;17;18;0.828611111;35897499
8356365;6.51;12;14;2.320833333;35897499
7116934;6.67;11;15;4.082222222;35897499
4303750;5.47;17;18;1.961388889;35897499
7027707;7.71;15;19;3.696111111;35897499
4268564;7.3;17;21;3.531388889;35897499
7120657;7.88;16;19;3.363333333;35897499
7620374;3.79;11;15;4.147222222;35897499
8539198;1.93;16;17;0.998055556;35897499
9402479;6.11;16;18;2.003888889;35897499
4904971;5.36;17;20;3.470555556;35897499
9371693;11.36;18;20;2.311944444;35897499
9600945;5.07;16;19;3.3375;35897499
4047449;6.41;14;16;2.395555556;35897499
8906717;5.49;17;20;2.971111111;35897499
2151745;11;17;19;1.894444444;35897499
3904382;5.49;15;18;2.801666667;35897499
6412124;2.46;17;18;0.8025;35897499
9579135;14.18;16;20;3.964444444;35897499
3526792;4.35;15;18;3.0975;35897499
2103254;4.87;17;18;0.865277778;35897499
8767465;20.02;15;19;3.610555556;35897499
4927630;8.82;16;20;3.551666667;35897499
3661095;12.09;16;20;3.708333333;35897499
8681532;11.81;17;19;2.093055556;35897499
2847811;13.6;17;20;2.681388889;35897499
1779780;16.41;16;20;3.776388889;35897499
9038095;11.4;16;21;4.437777778;35897499
6839807;14.09;11;15;3.643055556;35897499
7513206;4.97;17;18;0.891388889;35897499
9651531;5.21;12;14;1.646388889;35897499
9066880;6.93;16;20;3.39;35897499
4023183;9.75;17;20;3.046388889;35897499
1667896;8.1;15;17;1.538333333;35897499
4907994;14.53;11;15;3.69;35897499
8544912;1.66;16;17;0.313611111;35897499
4339735;6.78;12;15;3.231388889;35897499
7670282;1.37;17;19;1.932777778;35897499
2534249;6.79;17;20;2.981388889;35897499
2892603;0;16;17;0.208888889;35897499
2451809;4.96;17;20;3.185277778;35897499
1986587;3.87;14;17;2.426111111;35897499
5345683;6.67;12;16;3.805;35897499
2211634;6.63;17;20;3.613333333;35897499
1119614;3.72;11;15;4.049444444;35897499
8689860;4.37;17;21;3.788888889;35897499
5481838;6.78;13;15;2.585;35897499
5187868;6.21;16;18;2.127777778;35897499
7546366;4.45;15;17;2.473611111;35897499
5407577;4.59;17;20;3.652777778;35897499
1634517;7.39;17;20;2.544444444;35897499
7511668;3.84;11;15;3.805277778;35897499
2225529;3.48;18;19;1.244722222;35897499
2719439;4.38;13;16;2.551944444;35897499
6475803;4.92;16;18;2.144722222;35897499
7314718;4.72;16;20;3.881388889;35897499
8726154;6.5;17;19;2.665833333;35897499
9884932;4.08;14;16;1.468333333;35897499
2725835;0.76;16;16;0.263611111;35897499
9251926;4.6;16;20;3.771666667;35897499
7848461;4.35;16;20;3.986944444;35897499
2450078;5.25;12;14;2.526388889;35897499
8294063;4.14;18;20;2.178888889;35897499
8369555;6.59;16;20;3.727222222;35897499
7946065;7.11;17;19;2.335277778;35897499
2860677;4.17;16;17;1.356388889;35897499
5319961;4.77;17;20;2.771666667;35897499
8693478;7.47;17;20;3.498055556;35897499
9401194;5.64;14;17;3.431388889;35897499
6864613;4;16;18;2.575555556;35897499
6383107;3.93;11;15;3.980555556;35897499
7109071;7.01;17;20;3.440555556;35897499
5544644;6.4;12;16;3.618611111;35897499
8796946;1.02;16;20;4.056944444;35897499
7932903;7.12;16;20;3.983611111;35897499
5511788;1.2;15;15;0.401388889;35897499
2177313;3.01;15;16;0.989444444;35897499
4155559;3.79;11;13;2.571944444;35897499
7684218;7.29;17;20;3.592777778;35897499
4774630;6.56;12;16;3.5325;35897499
8889063;1.81;16;20;3.805555556;35897499
1667198;4.6;17;20;3.796388889;35897499
3918469;4.16;17;20;3.208333333;35897499
5137159;5.47;13;16;3.293888889;35897499
9198706;1.38;16;20;3.680555556;35897499
7484631;4.3;11;14;3.47;35897499
5047224;6.13;17;20;2.751388889;35897499
7612366;5.88;15;17;1.890555556;35897499
1943326;5.16;17;20;2.881111111;35897499
4773595;6.66;14;17;3.178055556;35897499
8710352;0.31;17;19;1.846111111;35897499
6946930;1.73;16;16;0.578333333;35897499
9080203;3.97;11;12;1.311666667;35897499
1310541;4.77;14;17;3.406666667;35897499
2051880;3.79;15;17;2.088611111;35897499
2151405;6.56;17;21;3.940555556;35897499
9830354;5.07;16;20;3.983611111;35897499
7366688;4.17;14;16;2.016388889;35897499
3690401;2.87;16;20;3.966666667;35897499
2666943;10.01;16;19;3.018055556;35897499
8966239;6.33;13;17;3.591944444;35897499
1060291;1.3;17;20;3.461944444;35897499
6178031;4.16;17;20;3.081111111;35897499
6720753;5.68;12;15;2.894444444;35897499
5465287;4.27;16;20;4.144166667;35897499
4722963;6.31;12;16;3.543055556;35897499
2353637;6.58;17;20;3.320833333;35897499
4542365;2.27;17;17;0.527777778;35897499
4235947;6.35;16;19;2.434444444;35897499
3346938;4.21;11;13;2;35897499
1377083;1.97;11;12;0.652222222;35897499
9206532;3.43;12;13;1.426666667;35897499
3574851;6.27;17;19;2.291666667;35897499
1881770;6.89;13;17;3.619722222;65023200
2564911;6.28;14;17;2.4475;65023200
7028441;2.76;18;23;4.057222222;65023200
2162299;4.1;18;1;55.23805556;65023200
5859533;7.21;17;23;5.545;65023200
4317364;7.02;20;22;2.406111111;65023200
1176150;8.38;14;17;3.414166667;65023200
6226034;6.38;18;22;4.266388889;65023200
4366553;7.52;14;17;2.507222222;65023200
3217970;6.22;14;16;2.394166667;65023200
7786095;7.9;14;17;3.575555556;65023200
4705451;11.61;19;23;3.900833333;65023200
1699715;7.97;14;17;2.901388889;65023200
7648104;6.11;13;16;3.258055556;65023200
4635698;3.11;17;22;5.142222222;65023200
3923928;6.92;14;17;3.090555556;65023200
8791850;9.31;17;23;5.278333333;65023200
1824270;7.89;17;23;5.3325;65023200
2321993;6.66;16;19;3.495833333;65023200
7906889;0.89;21;21;0.305;65023200
5923518;6.3;16;21;5.699166667;65023200
4264640;2.52;21;21;0.810277778;65023200
6087939;0.02;17;17;0.040555556;65023200
2097707;5.54;18;21;2.731388889;65023200
9090606;4.34;20;21;1.373333333;65023200
4833980;2.91;21;21;0.936388889;65023200
9998981;6.21;17;20;3.309722222;65023200
1968884;5.16;13;15;2.709444444;65023200
4775619;0.1;16;17;0.056666667;65023200
7165535;4.64;20;22;1.434722222;65023200
6108765;5.47;17;20;2.24;65023200
5431268;5.48;17;21;4.051388889;65023200
8807066;5.42;15;18;2.312777778;65023200
2366312;6.58;17;21;4.7025;65023200
6533184;5.62;19;22;2.935555556;65023200
8146919;5.07;19;22;2.595833333;65023200
9240795;4.6;13;16;2.603611111;65023200
9131704;2.69;21;21;0.909722222;65023200
8258612;6.18;18;21;3.215555556;65023200
5663108;6.65;17;21;4.683055556;65023200
6649705;5.81;16;18;2.453888889;65023200
5226944;6.13;19;21;1.936388889;65023200
8829161;7.08;17;19;2.533611111;65023200
6295415;6.28;15;22;6.431666667;65023200
2486127;6.51;16;21;4.811944444;65023200
3297805;6.54;17;21;4.633055556;65023200
8025036;7;19;21;2.559722222;65023200
6067782;6.34;17;22;4.770277778;65023200
5570215;7.7;17;21;4.715833333;65023200
4150137;6.37;15;21;5.851111111;65023200
1851465;6.19;17;21;4.843888889;65023200
8612143;2.71;13;15;2.830555556;65023200
1256772;0;20;22;2.034166667;65023200
6326627;7.13;19;22;2.717777778;65023200
9547336;3.57;14;15;1.362222222;65023200
2660497;1.72;18;21;3.228333333;65023200
7264751;5.9;19;21;2.2925;65023200
4974779;3.8;14;15;1.211944444;65023200
4575807;6.46;19;21;2.484722222;65023200
9976151;5.42;13;15;1.769444444;65023200
1258066;5.97;17;19;2.128888889;65023200
8999662;7.55;17;21;4.105833333;65023200
3839404;5.02;18;21;3.878611111;65023200
3416621;4.06;19;21;1.894444444;65023200
6905541;6.36;18;21;3.225277778;65023200
1104463;5.03;15;18;2.274166667;65023200
3913179;5.23;16;21;5.021666667;65023200
2011252;5.26;13;17;3.684722222;65023200
6076670;0.86;17;21;4.394444444;65023200
1890363;6.78;17;21;4.247777778;65023200
5997459;6.66;17;21;4.000277778;65023200
7179065;6.63;18;21;3.31;65023200
4506034;7.35;16;22;5.597222222;65023200
7461794;5.54;17;21;4.304722222;65023200
3320247;6.73;16;21;5.718055556;65023200
2118414;6.62;17;22;4.476111111;65023200
8679380;6.46;17;21;4.751388889;65023200
2409826;8.41;18;21;3.080277778;65023200
7817859;7.84;15;21;5.924722222;65023200
6935812;5.88;17;22;4.701111111;65023200
5155934;4.57;20;22;1.624166667;65023200
5808039;6.5;19;22;2.371666667;65023200
4193479;5.86;19;21;2.741111111;65023200
1859460;5.5;18;21;3.410277778;65023200
4861447;5.8;13;16;2.7825;65023200
6675795;7.16;16;19;2.897222222;65023200
7296683;1.39;20;21;1.059722222;65023200
5164549;8.23;17;21;4.961111111;65023200
3898980;4.67;13;16;2.707777778;65023200
6186530;2.16;18;21;2.993055556;65023200
8842700;5.02;16;19;2.743888889;65023200
2890933;0.05;19;22;2.7125;65023200
7556587;5.29;13;16;3.136388889;65023200
8170464;3.09;18;20;1.789722222;65023200
8958839;5.83;13;17;4.828888889;65023200
1792624;5.56;13;15;2.511111111;65023200
2838084;4.89;16;21;4.941111111;65023200
8471653;1.98;17;18;0.655833333;65023200
4105012;3.17;18;21;2.920833333;65023200
2834438;6.11;18;20;1.952777778;65023200
8161363;2.35;20;21;1.155;65023200
2016392;6.35;14;17;3.046944444;65023200
5098975;3.28;20;21;1.075277778;65023200
2968857;6.23;18;22;3.077222222;65023200
2095458;5.09;15;21;6.0525;65023200
6992976;4.68;15;17;2.746111111;65023200
3059726;5.42;16;21;5.501944444;65023200
2896987;4.67;13;16;2.830833333;65023200
7903886;2.76;14;15;0.873055556;65023200
6808795;3.24;16;18;1.47;65023200
5239236;0.63;18;22;3.604444444;65023200
1547224;4.95;13;16;3.078611111;65023200
8402166;4.4;17;22;4.66;65023200
