Days;Time;Slow1;Slow2;Fast1;Fast2
19/03/2017;00:15;0,00000000;0,00000000;0,00000000;0,00000000
19/03/2017;00:30;0,14000000;0,29000000;0,00000000;0,02220000
19/03/2017;00:45;0,14000000;0,29000000;0,01480000;0,02220000
19/03/2017;01:00;0,10000000;0,19000000;0,01480000;0,02220000
19/03/2017;01:15;0,19000000;0,29000000;0,02220000;0,02960000
19/03/2017;01:30;0,14000000;0,39000000;0,02960000;0,04440000
19/03/2017;01:45;0,14000000;0,34000000;0,03700000;0,04440000
19/03/2017;02:00;0,42000000;0,35000000;0,06580000;0,15800000
19/03/2017;02:15;0,72000000;0,34000000;0,08060000;0,27200000
19/03/2017;02:30;1,27000000;0,84000000;0,16080000;0,34160000
19/03/2017;02:45;0,98000000;0,74000000;0,15420000;0,30040000
19/03/2017;03:00;0,68000000;0,50000000;0,15420000;0,25680000
19/03/2017;03:15;0,20000000;0,20000000;0,13880000;0,21340000
19/03/2017;03:30;0,25000000;0,15000000;0,11660000;0,16500000
19/03/2017;03:45;1,21000000;0,25000000;0,11000000;0,20340000
19/03/2017;04:00;2,41000000;0,20000000;0,14700000;0,18120000
19/03/2017;04:15;2,27000000;0,15000000;0,13960000;0,13880000
19/03/2017;04:30;1,24000000;0,05000000;0,10340000;0,10340000
19/03/2017;04:45;0,45000000;0,05000000;0,09620000;0,08060000
19/03/2017;05:00;0,30000000;0,15000000;0,08880000;0,08720000
19/03/2017;05:15;0,33000000;0,25000000;0,14540000;0,09460000
19/03/2017;05:30;0,28000000;0,39000000;0,14540000;0,10940000
19/03/2017;05:45;0,18000000;0,34000000;0,15280000;0,09620000
19/03/2017;06:00;0,13000000;0,19000000;0,14540000;0,08140000
19/03/2017;06:15;0,15000000;0,00000000;0,15200000;0,05180000
19/03/2017;06:30;0,30000000;0,33000000;0,18740000;0,05180000
19/03/2017;06:45;0,30000000;0,63000000;0,20960000;0,04440000
19/03/2017;07:00;0,30000000;0,53000000;0,22440000;0,04440000
19/03/2017;07:15;0,25000000;0,53000000;0,21700000;0,04440000
19/03/2017;07:30;1,27000000;0,53000000;0,22380000;0,14640000
19/03/2017;07:45;2,15000000;0,75000000;0,27480000;0,19820000
19/03/2017;08:00;2,80000000;1,01000000;0,27480000;0,22700000
19/03/2017;08:15;1,82000000;0,77000000;0,24520000;0,20560000
19/03/2017;08:30;0,83000000;0,39000000;0,22300000;0,16200000
19/03/2017;08:45;0,20000000;0,33000000;0,24420000;0,14060000
19/03/2017;09:00;0,30000000;0,32000000;0,29440000;0,18420000
19/03/2017;09:15;0,30000000;0,27000000;0,28700000;0,16940000
19/03/2017;09:30;0,30000000;0,18000000;0,26560000;0,16940000
19/03/2017;09:45;0,30000000;0,13000000;0,24340000;0,12500000
19/03/2017;10:00;0,44000000;0,23000000;0,25800000;0,08880000
19/03/2017;10:15;0,74000000;0,37000000;0,27260000;0,09620000
19/03/2017;10:30;0,92000000;0,52000000;0,26520000;0,09620000
19/03/2017;10:45;0,82000000;0,52000000;0,26520000;0,10360000
19/03/2017;11:00;0,54000000;0,42000000;0,25120000;0,11100000
19/03/2017;11:15;0,45000000;0,24000000;0,21500000;0,11100000
19/03/2017;11:30;0,35000000;0,45000000;0,21500000;0,10360000
19/03/2017;11:45;0,20000000;0,60000000;0,24360000;0,08880000
19/03/2017;12:00;0,25000000;0,75000000;0,24360000;0,09580000
19/03/2017;12:15;0,20000000;0,75000000;0,22220000;0,10320000
19/03/2017;12:30;0,10000000;0,60000000;0,21480000;0,11640000
19/03/2017;12:45;0,10000000;0,30000000;0,21400000;0,12380000
19/03/2017;13:00;0,05000000;0,35000000;0,23540000;0,10920000
19/03/2017;13:15;0,05000000;0,25000000;0,23540000;0,10260000
19/03/2017;13:30;0,05000000;0,25000000;0,20680000;0,12400000
19/03/2017;13:45;0,00000000;0,30000000;0,17960000;0,10940000
19/03/2017;14:00;0,09000000;0,40000000;0,18040000;0,09460000
19/03/2017;14:15;0,09000000;0,30000000;0,19520000;0,08060000
19/03/2017;14:30;0,05000000;0,30000000;0,19520000;0,08060000
19/03/2017;14:45;0,00000000;0,20000000;0,19520000;0,07240000
19/03/2017;15:00;0,00000000;0,15000000;0,19520000;0,09440000
19/03/2017;15:15;0,00000000;0,15000000;0,16580000;0,07960000
19/03/2017;15:30;0,00000000;0,20000000;0,13880000;0,07300000
19/03/2017;15:45;0,05000000;0,30000000;0,15360000;0,06620000
19/03/2017;16:00;0,05000000;0,39000000;0,14620000;0,04420000
19/03/2017;16:15;0,14000000;0,39000000;0,12400000;0,03680000
19/03/2017;16:30;0,09000000;0,29000000;0,08040000;0,02200000
19/03/2017;16:45;0,05000000;0,33000000;0,08040000;0,02940000
19/03/2017;17:00;0,05000000;0,14000000;0,08700000;0,02880000
19/03/2017;17:15;0,05000000;0,09000000;0,07960000;0,02880000
19/03/2017;17:30;0,05000000;0,04000000;0,08700000;0,02880000
19/03/2017;17:45;0,05000000;0,00000000;0,05080000;0,00660000
19/03/2017;18:00;0,05000000;0,04000000;0,04420000;0,00000000
19/03/2017;18:15;0,00000000;0,04000000;0,03680000;0,00000000
19/03/2017;18:30;2,55000000;1,18000000;0,24280000;0,48060000
19/03/2017;18:45;4,73000000;2,28000000;0,36400000;0,96420000
19/03/2017;19:00;6,16000000;3,26000000;0,62140000;1,51740000
19/03/2017;19:15;4,01000000;2,36000000;0,54460000;1,40660000
19/03/2017;19:30;1,88000000;1,38000000;0,54380000;1,19060000
19/03/2017;19:45;0,45000000;0,48000000;0,32780000;0,76820000
19/03/2017;20:00;0,33000000;0,37000000;0,30840000;0,78060000
19/03/2017;20:15;0,51000000;0,43000000;0,24300000;0,67400000
19/03/2017;20:30;0,56000000;0,54000000;0,26520000;0,75180000
19/03/2017;20:45;0,33000000;0,29000000;0,19460000;0,58300000
19/03/2017;21:00;0,15000000;0,14000000;0,15720000;0,35320000
19/03/2017;21:15;0,00000000;0,00000000;0,07080000;0,17340000
19/03/2017;21:30;0,10000000;0,10000000;0,05020000;0,09280000
19/03/2017;21:45;0,10000000;0,10000000;0,04420000;0,12420000
19/03/2017;22:00;0,20000000;0,05000000;0,06560000;0,18900000
19/03/2017;22:15;0,15000000;0,05000000;0,07960000;0,21860000
19/03/2017;22:30;0,10000000;0,00000000;0,06480000;0,21120000
19/03/2017;22:45;0,05000000;0,00000000;0,05820000;0,15360000
19/03/2017;23:00;0,05000000;0,00000000;0,03700000;0,09460000
19/03/2017;23:15;0,10000000;0,00000000;0,03700000;0,05020000
19/03/2017;23:30;0,10000000;0,00000000;0,02220000;0,04200000
19/03/2017;23:45;0,00000000;0,00000000;0,00740000;0,04200000
19/03/2017;24:00;0,00000000;0,00000000;0,01480000;0,05680000
20/03/2017;00:15;0,00000000;0,00000000;0,01480000;0,04440000
20/03/2017;00:30;0,04000000;0,10000000;0,00740000;0,04440000
20/03/2017;00:45;0,04000000;0,10000000;0,00000000;0,02220000
20/03/2017;01:00;0,00000000;0,05000000;0,00000000;0,02220000
